Vehicle_Name,Type,Manufacturer,Model,Country,Introduced_Year,0-100_kph_(s),100-0_(m),Top_Speed_(kph),Curb_Weight_(kg),Wheelbase_(m),Length_(m),Width_(m),Height_(m),Engine,Displacement_(l),Power_(ps),Torque_(Nm),Engine_Layout,Wheel_Drive,Class,Trasmission_Name,Trasmission_Type,N_Trasmission
Chevrolet Camaro ZL1,Car,Chevrolet,Camaro ZL1,United States,2012.0,4.6,,296.0,1838.0,,,,,LSA V8,6.2,588.0,751.0,Front,Rear,Coupe,6-Speed Manual,Manual,6.0
Chevrolet Camaro ZL1 (Mk VI),Car,Chevrolet,Camaro ZL1 (Mk VI),United States,2017.0,3.8,32.0,318.0,1764.5,2.81,4.78,1.9,1.35,V8 supercharged,6.2,659.0,881.0,Front,Rear,Coupe,Other,Other,
Chevrolet Chevelle SS 454,Car,Chevrolet,Chevelle SS 454,United States,1970.0,5.4,,215.0,1740.0,2.85,5.01,1.92,1.34,GM Chevrolet LS6 454 V8 (big-block),7.4,456.0,678.0,Front,Rear,Coupe,Other,Other,
Chevrolet Chevelle SS-396,Car,Chevrolet,Chevelle SS-396 (360 hp),United States,,,,,1635.0,2.92,5.0,1.91,1.32,V8 OHV,6.5,365.0,569.0,Front,Rear,Coupe,4 speed manual,Manual,4.0
Chevrolet Cobalt SS,Car,Chevrolet,Cobalt SS,United States,2005.0,6.4,,230.0,1273.0,,,,,"Inline 4, Supercharged, 16v",2.0,208.0,271.0,Front,Front,Compact,6,Other,6.0
Chevrolet Cobalt SS/TC,Car,Chevrolet,Cobalt SS/TC,United States,2008.0,5.8,,257.0,1352.0,,,,,"Inline 4, Turbocharged",2.0,264.0,353.0,Front,Front,Compact,5,Other,5.0
Chevrolet Corvette (C4 304 PS),Car,Chevrolet,Corvette (C4 304 PS),United States,1992.0,5.8,38.0,277.0,1537.5,,,,,Small Block 5.7 V8,5.7,304.0,447.0,Front,Rear,Convertible,5,Other,5.0
Chevrolet Corvette 327 FI V8,Car,Chevrolet,Corvette 327 FI V8,United States,1962.0,,,201.0,1404.5,,,,,FI V8,5.4,365.0,477.0,Front,Rear,Convertible,4-speed manual,Manual,4.0
Chevrolet Corvette C1,Car,Chevrolet,Corvette C1,United States,,,,,,,,,,V8,4.6,253.0,414.0,Front,Rear,Convertible,4 speed manual,Manual,4.0
Chevrolet Corvette C4,Car,Chevrolet,Corvette C4,United States,1984.0,,,233.0,1535.5,2.44,4.48,1.8,1.19,V8 OHV,5.7,208.0,393.0,Front,Rear,Coupe,4sp manual+overdrive,Manual,4.0
Chevrolet Corvette C4 Z51,Car,Chevrolet,Corvette C4 Z51,United States,1987.0,6.3,42.0,245.0,1517.5,2.36,4.32,1.74,1.14,V8 OHV,5.7,248.0,461.0,Front,Rear,Coupe,4 speed + overdrive,Other,4.0
Chevrolet Corvette C5 (344 PS),Car,Chevrolet,Corvette C5 (344 PS),United States,1998.0,5.3,37.0,280.0,1505.0,,,,,V8 n/a,5.7,344.0,483.0,Front,Rear,Coupe,4 speed automatic,Automatic,4.0
Chevrolet Corvette C5 Z06,Car,Chevrolet,Corvette C5 Z06,United States,2003.0,5.2,,275.0,1420.0,,,,,V8 n/a,5.7,411.0,540.0,Front,Rear,Coupe,6,Other,6.0
Chevrolet Corvette C5 Z51,Car,Chevrolet,Corvette C5 Z51,United States,1999.0,5.0,,275.0,1475.0,,,,,V8,5.7,350.0,475.0,Front,Rear,Coupe,6-Manual,Manual,6.0
Chevrolet Corvette C6,Car,Chevrolet,Corvette C6,United States,2004.0,4.5,,300.0,1483.0,,,,,V8,6.0,405.0,542.0,Front,Rear,Coupe,6 speed manual,Manual,6.0
Chevrolet Corvette C6 Z51,Car,Chevrolet,Corvette C6 Z51,United States,2008.0,4.1,,307.0,1459.0,,,,,v8,6.2,442.0,580.0,Front,Rear,Coupe,6,Other,6.0
Chevrolet Corvette Grand Sport,Car,Chevrolet,Corvette Grand Sport (C6),United States,2010.0,4.7,35.0,306.0,1524.5,,,,,V8,6.2,436.0,575.0,Front,Rear,Convertible,6 speed manual,Manual,6.0
Chevrolet Corvette L82,Car,Chevrolet,Corvette L82,United States,1979.0,6.8,,215.0,1593.5,,,,,V8,5.7,228.0,366.0,Front,Rear,Coupe,3speed automatic,Automatic,3.0
Chevrolet Corvette Le Mans,Car,Chevrolet,Corvette Le Mans,United States,1960.0,,,,,,,,,V8,4.6,274.0,,Front,Rear,Coupe,4 speed manual,Manual,4.0
Chevrolet Corvette MY1982,Car,Chevrolet,Corvette MY1982,United States,1982.0,,,202.0,1500.0,2.49,4.71,1.75,1.23,OHV V8,5.7,203.0,386.0,Front,Rear,Coupe,4 speed auto,Other,4.0
Chevrolet Corvette Stingray,Car,Chevrolet,Corvette Stingray (C8),United States,2020.0,2.9,32.0,312.0,1639.5,,,,,Naturally Aspirated LT2 V8,6.2,502.0,637.0,Middle,Rear,Coupe,8 Speed DCT,Other,8.0
Chevrolet Corvette Z06 (C6),Car,Chevrolet,Corvette Z06 (C6),United States,2005.0,3.9,34.0,320.0,1458.5,,,,,"V8, 16v",7.0,512.0,637.0,Front,Rear,Coupe,6 speed manual,Manual,6.0
Chevrolet Corvette Z06 (C7),Car,Chevrolet,Corvette Z06 (C7),United States,2015.0,3.2,29.0,315.0,1608.5,2.71,4.49,1.88,1.24,GM LT4 6.2L Supercharged,6.2,659.0,881.0,Front,Rear,Coupe,Other,Other,
Chevrolet Corvette Z51 FX3,Car,Chevrolet,Corvette Z51 FX3,United States,1990.0,,,239.0,1536.0,2.44,4.48,1.8,1.19,V8 OHV,5.7,253.0,475.0,Front,Rear,Coupe,4 speed manual,Manual,4.0
Chevrolet Corvette ZR-1 (C4),Car,Chevrolet,Corvette ZR-1 (C4),United States,,4.9,,284.0,1583.5,,,,,V8,5.7,380.0,502.0,Front,Rear,Coupe,6 speed manual,Manual,6.0
Chevrolet Corvette ZR1,Car,Chevrolet,Corvette ZR1,United States,2008.0,3.2,32.0,334.0,1525.0,2.69,4.48,1.93,1.25,V-8 supercharged,6.2,647.0,819.0,Front,Rear,Coupe,6,Other,6.0
Chevrolet Cruze 1.4T,Car,Chevrolet,Cruze 1.4T,United States,2016.0,,,,,,,,,Inline 4 turbo,1.4,150.0,240.0,Front,Front,Compact,6 speed automatic,Automatic,6.0
Chevrolet Equinox 1.5,Car,Chevrolet,Equinox 1.5,United States,2018.0,11.7,,,1617.0,,,,,Inline 4 turbo,1.5,172.0,275.0,Front,All,SUV/truck,6 speed automatic,Automatic,6.0
Chevrolet Lacetti 1.8,Car,Chevrolet,Lacetti 1.8,South Korea,2005.0,9.5,,194.0,1205.0,,,,,R4,1.8,122.0,165.0,Front,Front,4-door saloon,5 speed manual,Manual,5.0
Chevrolet Lumina SS,Car,Chevrolet,Lumina SS,United States,2008.0,5.4,,260.0,1785.0,,,,,8cyl,6.0,365.0,530.0,Front,Rear,4-door saloon,6 speeds,Other,6.0
Chevrolet S10 2.5 Ecotec,Car,Chevrolet,S10 2.5 Ecotec,United States,2012.0,10.9,,,,,,,,Inline 4,2.5,206.0,268.0,Front,All,SUV/truck,6 speed automatic,Automatic,6.0
Chevrolet SS,Car,Chevrolet,SS,Australia,2014.0,,,,1800.0,2.92,4.97,1.9,1.49,"LS3 90º V8, n/a, OHV, 16v",6.2,421.0,563.0,Front,Rear,4-door saloon,6 speed automatic,Automatic,6.0
Chevrolet Tracker 1.0T,Car,Chevrolet,Tracker 1.0T,United States,2020.0,11.1,,,,,,,,Inline 3 turbo,1.0,116.0,165.0,Front,Front,SUV/truck,6 speed automatic,Automatic,6.0
Chevrolet Tracker 1.2T,Car,Chevrolet,Tracker 1.2T,United States,2020.0,9.3,,,,,,,,Inline 3 turbo,1.2,132.0,190.0,Front,Front,SUV/truck,6 speed automatic,Automatic,6.0
Chrysler 300 SRT-8 (Mk II),Car,Chrysler,300 SRT-8 (Mk II),United States,2011.0,,,282.0,1994.0,,,,,OHV 16-valve V-8,6.4,477.0,637.0,Front,Rear,4-door saloon,5-speed automatic,Automatic,5.0
Chrysler 300C SRT-8 Touring,Car,Chrysler,300C SRT-8 Touring,United States,2006.0,5.0,,265.0,1935.0,,,,,"V8, 16v",6.1,431.0,570.0,Front,Rear,Estate/wagon,5,Other,5.0
Chrysler 300C SRT8 HEMI sedan,Car,Chrysler,300C SRT8 HEMI sedan,,2004.0,4.9,,282.0,1910.0,,,,,V8,6.1,431.0,569.0,Front,Rear,4-door saloon,5,Other,5.0
Chrysler 300C Touring 3.0 CRD,Car,Chrysler,300C Touring 3.0 CRD,United States,2006.0,7.7,,227.0,1975.0,,,,,V6 24V DOHC turbo diesel (Mercedes),3.0,218.0,510.0,Front,Rear,Estate/wagon,5 speed automatic,Automatic,5.0
Chrysler Crossfire Roadster,Car,Chrysler,Crossfire Roadster,Germany,2005.0,7.0,,150.0,1432.0,,,,,"SOHC 18-valve V-6, aluminum block and heads, port fuel injection",3.2,218.0,310.0,Front,Rear,Convertible,"6-speed manual, 5-speed automatic",Manual,6.0
Chrysler Crossfire SRT-6,Car,Chrysler,Crossfire SRT-6,Germany,2005.0,5.0,,255.0,1459.0,,,,,V6 supercharged,3.2,335.0,420.0,Front,Rear,Coupe,5,Other,5.0
Chrysler PT Cruiser 2.4T,Car,Chrysler,PT Cruiser 2.4T,United States,,7.5,,200.0,1575.0,,,,,inline 4 Turbo 16V DOHC,2.4,223.0,332.0,Front,Front,Compact,6 speed manual,Manual,6.0
Chrysler-Plymouth Hemicuda,Car,Chrysler-Plymouth,Hemicuda,United States,,,,,1654.0,,,,,Chrysler-Hemi 7.0L V8,7.0,500.0,,Front,Rear,Coupe,4-speed Manual,Manual,4.0
Citroen  Zx 16v,Car,Citroen,Zx 16v,France,1996.0,7.7,,220.0,1170.0,,,,,"4 cylinders, 16 valves",2.0,169.0,193.0,Front,Front,Compact,5,Other,5.0
Citroen BX 16 TRS,Car,Citroen,BX 16 TRS,France,,13.9,,169.0,,,,,,Inline 4,1.6,94.0,137.0,Front,Front,4-door saloon,Other,Other,
Citroen BX 19 GT,Car,Citroen,BX 19 GT,France,,10.2,,187.0,1000.0,,,,,Inline 4,1.9,105.0,162.0,Front,Front,4-door saloon,5 speed manual,Manual,5.0
Citroen BX Sport,Car,Citroen,BX Sport,France,,,,201.0,,,,,,Inline 4,1.9,126.0,169.0,Front,Front,4-door saloon,5 speed manual,Manual,5.0
Citroen C-Crosser HDI 155FAP,Car,Citroen,C-Crosser HDI 155FAP,France,2007.0,9.8,,200.0,1750.0,,,,,4cyl turbo diesel 16V,2.2,156.0,380.0,Front,All,SUV/truck,6 speed stick shift,Other,6.0
Citroen C2 VTR,Car,Citroen,C2 VTR,France,2003.0,11.9,,195.0,1030.0,,,,,"Inline 4, 16v",1.6,110.0,147.0,Front,Front,Compact,5,Other,5.0
Citroen C2 VTS,Car,Citroen,C2 VTS,France,2004.0,8.9,,199.0,1105.0,,,,,"Inline 4, 16v",1.6,125.0,143.0,Front,Front,Compact,5,Other,5.0
Citroen C3 BlueHDi 100,Car,Citroen,C3 BlueHDi 100 (Mk III),France,2016.0,10.8,35.0,185.0,1170.0,,,,,Inline 4 turbo diesel,1.6,99.0,254.0,Front,Front,Compact,5 speed manual,Manual,5.0
"Citroen C4 1,6 THP Coupe",Car,Citroen,"C4 1,6 THP Coupe",France,2009.0,8.4,,211.0,1271.0,,,,,"4 inline, turbo",1.6,150.0,240.0,Front,Front,Compact,6,Other,6.0
Citroen C4 Coupe 2.0 16V VTS,Car,Citroen,C4 Coupe 2.0 16V VTS,France,2004.0,8.3,,227.0,1412.0,,,,,inline 4 16V DOHC n/a,2.0,177.0,202.0,Front,Front,Compact,5 speed stick,Other,5.0
Citroen CX GTi Turbo,Car,Citroen,CX GTi Turbo,France,1984.0,9.6,,211.0,1659.0,,,,,Inline 4 turbo,2.5,166.0,217.0,Front,Front,4-door saloon,5 speed manual,Manual,5.0
Citroen DS 21,Car,Citroen,DS 21,France,,,,179.0,,,,,,Inline 4,2.2,100.0,164.0,Front,Front,4-door saloon,4 speed manual,Manual,4.0
Citroen DS3 ,Car,Citroen,DS3 Performance,France,2016.0,6.2,38.0,232.0,1191.0,,,,,Inline 4 turbo,1.6,208.0,300.0,Front,Front,Compact,6 speed manual,Manual,6.0
Citroen DS3 HDI 110 FAP,Car,Citroen,DS3 HDI 110 FAP,France,2010.0,10.6,,190.0,1090.0,,,,,inline4 16V DOHC Turbo Diesel,1.6,111.0,270.0,Front,Front,Compact,6 speed manual,Manual,6.0
Citroen DS3 Racing,Car,Citroen,DS3 Racing,France,2010.0,6.9,37.0,235.0,1202.0,2.46,3.96,1.72,1.44,4 cilynders in line 16 valves,1.6,207.0,275.0,Front,Front,Compact,6 speed manual,Manual,6.0
Citroen DS3 THP 150,Car,Citroen,DS3 THP 150,France,2011.0,7.2,36.0,214.0,1173.5,,,,,inline4 16 V DOHC Turbo Direct injection,1.6,156.0,240.0,Front,Front,Compact,6 speed manual,Manual,6.0
Citroen GS,Car,Citroen,GS,France,,17.8,,151.0,900.0,,,,,Boxer 4,1.0,56.0,71.0,Front,Front,4-door saloon,Other,Other,
Citroen GS 1220,Car,Citroen,GS 1220,France,,15.2,,152.0,,,,,,Boxer 4,1.2,60.0,87.0,Front,Front,4-door saloon,4 speed manual,Manual,4.0
Citroen Saxo VTS,Car,Citroen,Saxo VTS,France,1996.0,8.1,,205.0,960.0,,,,,"4 inline, 16 valves",1.6,118.0,145.0,Front,Front,Compact,5,Other,5.0
Citroen Xsara 2.0 16V VTS,Car,Citroen,Xsara 2.0 16V VTS,France,1998.0,8.7,,220.0,1100.0,,,,,inline 4 16V DOHC n/a,2.0,163.0,193.0,Front,Front,Coupe,5,Other,5.0
Citroen ZX Volcane,Car,Citroen,ZX Volcane,France,1991.0,9.1,,200.0,1099.0,,,,,4 cyl 8 valve,1.9,132.0,160.0,Front,Front,Compact,5,Other,5.0
Civic Type R Limited Edition,Car,Honda,Civic Type R Limited Edition (FK8),Japan,2020.0,5.6,32.0,272.0,1378.5,,,,,Inline 4 turbo 16 valve DOHC,2.0,320.0,400.0,Front,Front,Compact,6 speed manual,Manual,6.0
Civic Type-R Champion Edition,Car,Honda,Civic Type-R Champion Edition (FN1),Japan,2008.0,6.6,,235.0,1355.0,,,,,inline4 16V DOHC n/a,2.0,201.0,193.0,Front,Front,Compact,6 speed manual,Manual,6.0
Clio III RS WRS Edition,Car,Renault,Clio III RS WRS Edition,France,2007.0,6.8,,215.0,1220.0,,,,,4 cylinders 16v,2.0,197.0,215.0,Front,Front,Compact,6 manual,Manual,6.0
Clubman John Cooper Works ALL4,Car,Mini,Clubman John Cooper Works ALL4,Germany,2017.0,,,,1595.0,,,,,turbocharged inline-4,2.0,231.0,350.0,Front,All,Estate/wagon,6-speed manual,Manual,6.0
Cobalt SS Turbocharged Sedan,Car,Chevrolet,Cobalt SS Turbocharged Sedan,United States,2009.0,,,,1361.0,,,,,Inline 4 turbo,2.0,264.0,350.0,Front,Rear,4-door saloon,5 speed manual,Manual,5.0
Continental Flying Spur Speed,Car,Bentley,Continental Flying Spur Speed (Mk I),United Kingdom,2008.0,4.6,,322.0,2400.0,,,,,W12 48V twinturbo,6.0,610.0,750.0,Front,All,4-door saloon,6 speed automatic,Automatic,6.0
Continental Supersports,Car,Bentley,Continental Supersports (Mk I),United Kingdom,2010.0,3.7,36.0,329.0,2333.0,,,,,W12,6.0,630.0,800.0,Front,All,Coupe,6,Other,6.0
Cooper T57 Monaco Mk II,Car,Cooper,T57 Monaco Mk II,United Kingdom,1960.0,,,,,,,,,Inline 4,2.6,,,Middle,Rear,Convertible,4 speed manual,Manual,4.0
Corsa OPC Nurburgring Edition,Car,Opel,Corsa OPC Nurburgring Edition (D facelift),Germany,2011.0,6.8,,230.0,1260.0,2.51,4.0,1.71,1.49,inline4 16V DOHC Turbo,1.6,210.0,280.0,Front,Front,Compact,6 speed manaual limited slip dif,Other,6.0
Corvette  Grand Sport ,Car,Chevrolet,Corvette  Grand Sport  (C7),United States,2017.0,4.0,28.0,290.0,1581.5,,,,,LT1 V8,6.2,466.0,630.0,Front,Rear,Coupe,7-speed manual 8-speed auto,Manual,7.0
Corvette 427 Convertible,Car,Chevrolet,Corvette 427 Convertible,United States,2012.0,,,307.0,1522.0,,,,,OHV 14 Valve LS7,7.0,512.0,637.0,Front,Rear,Convertible,6-Speed Manual,Manual,6.0
Corvette C6 Convertible,Car,Chevrolet,Corvette C6 Convertible,United States,2004.0,4.8,38.0,300.0,1494.5,,,,,V8 n/a,6.0,404.0,546.0,Front,Rear,Convertible,6,Other,6.0
Corvette C7 Stingray Converti..,Car,Chevrolet,Corvette C7 Stingray Convertible,United States,2014.0,4.4,32.0,280.0,1428.0,2.71,4.5,1.88,1.23,"LT1 90° V8, n/a, OHV, CVVT 16v",6.2,456.0,610.0,Front,Rear,Convertible,Other,Other,
Corvette C8 Convertible,Car,Chevrolet,Corvette C8 Convertible,United States,2021.0,,,,,,,,,V8,6.2,502.0,637.0,Middle,Rear,Convertible,8 speed Dual clutch,Dual-Clutch,8.0
Corvette C8 Z06 Z07 Package,Car,Chevrolet,Corvette C8 Z06 Z07 Package (C8),United States,2022.0,,,304.0,1663.0,,,,,Flat plane crank DOHC V8,5.5,679.0,460.0,Middle,Rear,Coupe,8 speed DCT,Other,8.0
Corvette Coupe 6.2 C6,Car,Chevrolet,Corvette Coupe 6.2 C6,United States,2008.0,4.3,,306.0,1479.0,,,,,V8 16V n/a,6.2,436.0,575.0,Front,Rear,Coupe,6 speed stick shift,Other,6.0
Corvette Grand Sport Cabriolet,Car,Chevrolet,Corvette Grand Sport Cabriolet,United States,,4.7,36.0,300.0,1562.0,,,,,V8,6.2,437.0,585.0,Front,Rear,Convertible,6 speed automatic,Automatic,6.0
Corvette Z06 Convertible,Car,Chevrolet,Corvette Z06 Convertible (C8),United States,2022.0,,,,1704.5,2.72,4.69,2.02,1.24,LT6 5.5L DOHC V-8,5.5,679.0,623.0,Middle,Rear,Convertible,8 speed DCT,Other,8.0
Corvette Z06 Convertible (C7),Car,Chevrolet,Corvette Z06 Convertible (C7),United States,2014.0,,,298.0,1628.0,2.71,4.52,1.97,1.24,LT4 Supercharged V-8,6.2,659.0,881.0,Front,Rear,Convertible,Other,Other,
Corvette Z06 Z07 Package,Car,Chevrolet,Corvette Z06 Z07 Package,United States,2011.0,3.6,31.0,323.0,1394.0,,,,,LS7 V8,7.0,512.0,637.0,Front,Rear,Coupe,6,Other,6.0
Courage-Oreca LC70 Judd,Car,Courage-Oreca,LC70 Judd,France,,,,,900.0,,,,,Judd V10,0.3,659.0,658.0,Middle,Rear,Coupe,Courage Paddle-Operated 6 speed Manual,Manual,6.0
Cruze 1.8 LT WTCC Edition,Car,Chevrolet,Cruze 1.8 LT WTCC Edition,,2012.0,10.0,,195.0,1310.0,2.69,4.6,1.79,1.48,"Inline 4, n/a, 16 valves, DOHC",1.8,141.0,176.0,Front,Front,4-door saloon,5 speed manual,Manual,5.0
Cunningham C4-R,Car,Cunningham,C4-R,United States,1952.0,,,,,,,,,V8,5.4,304.0,,Front,Rear,Convertible,3 speed manual,Manual,3.0
Cunningham C4-RK Coupe,Car,Cunningham,C4-RK Coupe,United States,1952.0,,,,,,,,,V8,5.4,304.0,,Front,Rear,Coupe,3 speed manual,Manual,3.0
Cupra Ateca,Car,Cupra,Ateca,Spain,2019.0,4.6,33.0,249.0,1556.0,,,,,Inline 4 turbo,2.0,300.0,400.0,Front,All,SUV/truck,7 speed dual clutch automatic (DSG),Dual-Clutch,7.0
Cupra Born (150 kW),Car,Cupra,Born (150 kW),Spain,2021.0,7.1,34.0,164.0,1786.0,,,,,E-motor,,204.0,310.0,Front,Front,Compact,1 speed,Other,1.0
Cupra Formentor VZ 2.0 TSI,Car,Cupra,Formentor VZ 2.0 TSI,Spain,2020.0,4.5,33.0,251.0,1576.0,,,,,Inline 4 turbo,2.0,310.0,400.0,Front,All,SUV/truck,7 speed Dual clutch,Dual-Clutch,7.0
Cupra Formentor VZ5,Car,Cupra,Formentor VZ5,Spain,2021.0,3.9,33.0,250.0,1635.0,,,,,inline 5 turbo,2.5,390.0,480.0,Front,All,SUV/truck,7 speed Dual clutch,Dual-Clutch,7.0
Cupra Leon 2.0 TSI (245 PS),Car,Cupra,Leon 2.0 TSI (245 PS),Spain,2021.0,,,,,,,,,Inline 4 turbo,2.0,245.0,370.0,Front,Front,Compact,7 speed Dual clutch,Dual-Clutch,7.0
Cupra Leon 2.0 TSI (300 PS),Car,Cupra,Leon 2.0 TSI (300 PS),Spain,2021.0,5.4,31.0,250.0,1490.5,,,,,Inline 4 turbo,2.0,300.0,400.0,Front,Front,Compact,7 speed Dual clutch,Dual-Clutch,7.0
Czinger 21C,Car,Czinger,21C,United States,2020.0,,,432.0,1250.0,,,,,"DOHC twin-turbocharged V8, 3 electric motors",2.9,1267.0,1439.0,Middle,All,Coupe,7-speed sequential automatic,Sequential,7.0
Dacia Sandero 1.6 16V (Mk I),Car,Dacia,Sandero 1.6 16V (Mk I),Romania,2008.0,10.2,,183.0,1060.0,2.63,4.29,1.74,1.53,Line 4,1.6,106.0,148.0,Front,Front,Compact,5 speed manual,Manual,5.0
Daihatsu Copen,Car,Daihatsu,Copen,Japan,,10.5,,180.0,920.0,,,,,inline 4,1.3,87.0,120.0,Front,Front,Convertible,5 speed stick shift,Other,5.0
Dallara  Stradale Spider,Car,Dallara,Stradale Spider,Italy,2018.0,3.3,,,,,,,,4 cylinder Turbocharged,2.3,406.0,500.0,Middle,Rear,Convertible,"six-speed manual transmission , robotized gearbox with paddle shifters",Manual,
Dallara P217,Car,Dallara,P217,Italy,2017.0,,,,930.0,,,,,V8 DOHC,4.2,611.0,555.0,Middle,Rear,Coupe,X-Trac 6-speed sequential manual,Sequential,6.0
Datsun 280-ZX,Car,Datsun,280-ZX,Japan,1979.0,,,190.0,1295.0,,,,,SOHC I-6,2.8,137.0,195.0,Front,Rear,Coupe,5,Other,5.0
Datsun 280-ZX Turbo,Car,Datsun,280-ZX Turbo,Japan,1981.0,7.3,,218.0,1345.0,,,,,SOHC inline 6,2.8,182.0,275.0,Front,Rear,Coupe,,Other,
De Lorean DMC-12,Car,De Lorean,DMC-12 (European spec),United Kingdom,1978.0,8.8,,177.0,1420.0,,,,,V6,2.8,170.0,235.0,Rear,Rear,Coupe,Other,Other,
De Lorean DMC-12 (USA spec),Car,De Lorean,DMC-12 (USA spec),United Kingdom,1978.0,10.5,51.0,209.0,1341.0,,,,,V6,2.8,130.0,207.0,Rear,Rear,Coupe,Other,Other,
De Tomaso Longchamp,Car,De Tomaso,Longchamp,Italy,1972.0,,,,1600.0,2.6,4.53,1.83,1.3,Ford Cleveland 335-series 351C V-8,5.8,331.0,466.0,Front,Rear,Coupe,3-gears automatic,Automatic,3.0
De Tomaso Pantera GTS,Car,De Tomaso,Pantera GTS,Italy,1973.0,5.8,,290.0,1381.5,,,,,V8 16 valve,5.8,330.0,441.0,Middle,Rear,Coupe,5 speed stick,Other,5.0
Devon GTX,Car,Devon,GTX,United States,,,,,,,,,,V10,8.4,659.0,,Front,Rear,Coupe,6 speed manual,Manual,6.0
Dodge Caliber SRT4,Car,Dodge,Caliber SRT4,United States,2008.0,6.5,,250.0,1473.0,,,,,"4 cylinders, 16 valves, turbo",2.4,288.0,363.0,Front,Front,Compact,6,Other,6.0
Dodge Challenger R/T Scat Pack,Car,Dodge,Challenger R/T Scat Pack,United States,2015.0,,,,,,,,,V8,6.4,492.0,644.0,Front,Rear,Coupe,8 speed automatic,Automatic,8.0
Dodge Challenger SRT Hellcat,Car,Dodge,Challenger SRT Hellcat (Facelift),United States,2018.0,,,,,,,,,Hellcat Hemi V8 supercharged,6.2,727.0,889.0,Front,Rear,Coupe,Other,Other,
Dodge Challenger SRT-8,Car,Dodge,Challenger SRT-8,United States,2009.0,4.8,,275.0,1902.0,,,,,HEMI V8,6.1,431.0,569.0,Front,Rear,Coupe,5,Other,5.0
Dodge Challenger SRT-8 392,Car,Dodge,Challenger SRT-8 392 (facelift),United States,2015.0,4.8,36.0,270.0,1950.5,2.95,5.02,1.92,1.45,"V8, 16 valve HEMI",6.4,492.0,644.0,Front,Rear,Coupe,Other,Other,
Dodge Challenger SRT-8 Hellcat,Car,Dodge,Challenger SRT-8 Hellcat,United States,2014.0,3.9,34.0,320.0,1960.0,2.95,5.02,1.92,1.45,Chrysler 392 HEMI V-8 Supercharged,6.4,717.0,881.0,Front,Rear,Coupe,Tremec TR6060 6 Speed Manual and Chrysler 8 Speed Automatic,Manual,6.0
Dodge Charger SRT Hellcat,Car,Dodge,Charger SRT Hellcat,United States,2015.0,3.9,33.0,332.0,2096.5,3.05,5.09,1.89,1.47,SuperCharged Hemi HellCat V8,6.2,717.0,881.0,Front,Rear,4-door saloon,TorqueFlite 8HP90 8-Speed AutoMatic,Automatic,8.0
Dodge Charger SRT-8,Car,Dodge,Charger SRT-8,United States,2005.0,5.4,,265.0,1911.0,,,,,"V8, 16v",6.1,431.0,569.0,Front,Rear,4-door saloon,6,Other,6.0
Dodge Charger SRT-8 (facelift),Car,Dodge,Charger SRT-8 (facelift),United States,2011.0,,,282.0,1955.0,,,,,OHV 16-valve V-8,6.4,476.0,637.0,Front,Rear,4-door saloon,5-Speed Automatic,Automatic,5.0
Dodge Daytona Turbo Z,Car,Dodge,Daytona Turbo Z,United States,1984.0,,,,1010.5,2.46,4.45,1.76,1.28,L4 Turbo,2.2,144.0,217.0,Front,Front,Coupe,5 speed manual,Manual,5.0
Dodge Neon SRT-4,Car,Dodge,Neon SRT-4,United States,2004.0,5.5,,247.0,1356.0,,,,,DOHC turbocharged I4,2.4,233.0,339.0,Front,Front,4-door saloon,5 speed manual,Manual,5.0
Dodge Ram SRT-10,Car,Dodge,Ram SRT-10,United States,2004.0,5.2,,250.0,2299.5,,,,,10cyl,8.3,507.0,712.0,Front,Rear,SUV/truck,6 speed manual,Manual,6.0
Dodge Viper ACR,Car,Dodge,Viper ACR,United States,1999.0,4.1,,309.0,1544.5,,,,,"Naturally Aspirated V-10, 2 valves per cylinder",8.0,466.0,678.0,Front,Rear,Coupe,6,Other,6.0
Dodge Viper ACR (Mk V),Car,Dodge,Viper ACR (Mk V),United States,2016.0,4.0,28.0,285.0,1537.5,,,,,V10,8.4,654.0,813.0,Front,Rear,Coupe,Tremec TR6060 six-speed manual transmission,Manual,6060.0
Dodge Viper GTS,Car,Dodge,Viper GTS,United States,1997.0,4.3,40.0,310.0,1555.5,,,,,"V10, 20v",8.0,457.0,664.0,Front,Rear,Coupe,6,Other,6.0
Dodge Viper RT/10 (405 PS),Car,Dodge,Viper RT/10 (405 PS),United States,1992.0,4.6,41.0,281.0,1480.5,,,,,"V10, 20v",8.0,405.0,630.0,Front,Rear,Convertible,6,Other,6.0
Dodge Viper RT/10 (456 PS),Car,Dodge,Viper RT/10 (456 PS),United States,1996.0,4.2,,270.0,1581.0,,,,,V 10,8.0,456.0,664.0,Front,Rear,Convertible,6 speed Manual,Manual,6.0
Dodge Viper SRT-10,Car,Dodge,Viper SRT-10,United States,2005.0,4.0,37.0,306.0,1570.0,,,,,"V10, 20v",8.3,506.0,711.0,Front,Rear,Coupe,6 speed,Other,6.0
Dodge Viper SRT-10 (612 PS),Car,Dodge,Viper SRT-10 (612 PS),United States,2008.0,3.7,,325.0,1567.0,,,,,"V10, 20v",8.4,612.0,759.0,Front,Rear,Coupe,6 speed manual,Manual,6.0
Dodge Viper SRT-10 ACR,Car,Dodge,Viper SRT-10 ACR,United States,2008.0,,,290.0,1543.5,,,,,"V-10, 2 valves per cylinder",8.4,608.0,759.0,Front,Rear,Coupe,6,Other,6.0
